Name,ID Competição,Classe Vela,Position,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
PUJOL BAJO Cristina (ESPCP17)        F93,7,Ilca 6,"37
37.0",G,26,,265,215,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
MUNCH Anna (DENAM6)                       F98,7,Ilca 6,"13
13.0",G,27,,282,216,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
AINSWORTH Elyse (AUSEA3)               F99,7,Ilca 6,"39
39.0",G,28,,271,220,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
ANDERSSOHN Hannah Cris (GERHA4)F99,7,Ilca 6,"17
17.0",G,29,,277,228,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
ALBANO Carolina (ITACA30),7,Ilca 6,"46
46.0",G,30,,296,230,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
LULIC Sandra (CROSL3),7,Ilca 6,"11
11.0",G,31,,293,240,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
DONERTAS Nazli Cagla (TURCD5),7,Ilca 6,"22
22.0",G,32,,306,240,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
CATTAROZZI FEDERICA (ITAFC135),7,Ilca 6,"45
45.0",G,33,,305,254,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
HOPKINS Aoife (IRLAH14),7,Ilca 6,"4
4.0",G,34,,327,261,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
GOLEBIOWSKA Wiktoria (POLWG7),7,Ilca 6,"14
14.0",G,35,,330,264,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
KUMANAN Nethra (INDNK4),7,Ilca 6,"42
42.0",G,36,,320,269,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
GUZEL Ecem (TUREG2),7,Ilca 6,"41
41.0",G,37,,340,274,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
SAKELLARIS Christina (USACS239),7,Ilca 6,"24
24.0",G,38,,345,283,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
GRAVELY Clara (CANCG20),7,Ilca 6,"10
10.0",G,39,,351,293,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
PLETIKOS Lin (SLOLP2),7,Ilca 6,"34
34.0",G,40,,370,310,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
BAUDET Rosine (SUIRB8),7,Ilca 6,"44
44.0",G,41,,379,313,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
VON ALLMEN Anja (SUIAV3),7,Ilca 6,"32
32.0",G,42,,377,321,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
REINO CAHO Martina (ESPMR19),7,Ilca 6,"43
43.0",G,43,,393,327,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
SACKER Molly (GBRMS122),7,Ilca 6,"48
48.0",G,44,,379,328,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
CHRISTIE Olivia (NZLOC2),7,Ilca 6,"33
33.0",G,45,,397,331,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
DEWEY Maura (CANMD9),7,Ilca 6,"47
47.0",G,46,,404,338,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
TOMBE Yumiko (JPNYT7)                     F90,7,Ilca 6,"38
38.0",G,47,,419,353,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
HAJI-MICHAEL Anya (GBRAH128)        F99,7,Ilca 6,"52
52.0",G,48,,423,364,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
